i= 49994 	idx= 149982
i= 24997 	idx= 174979
i= 12498 	idx= 187477
i= 6249 	idx= 193726
i= 3125 	idx= 196851
i= 1562 	idx= 198413
i= 781 	idx= 199194
i= 391 	idx= 199585
i= 195 	idx= 199780
i= 98 	idx= 199878
i= 49 	idx= 199927
i= 24 	idx= 199951
i= 12 	idx= 199963
i= 6 	idx= 199969
i= 3 	idx= 199972
i= 2 	idx= 199974
i= 1 	idx= 199973
i= 0 	idx= 199973
i= 49994 	idx= 149981
i= 24997 	idx= 174978
i= 12498 	idx= 187476
i= 6249 	idx= 193725
i= 3125 	idx= 196850
i= 1562 	idx= 198412
i= 781 	idx= 199193
i= 391 	idx= 199584
i= 195 	idx= 199779
i= 98 	idx= 199877
i= 49 	idx= 199926
i= 24 	idx= 199950
i= 12 	idx= 199962
i= 6 	idx= 199968
i= 3 	idx= 199971
i= 2 	idx= 199973
i= 1 	idx= 199972
i= 0 	idx= 199972
i= 49993 	idx= 149980
i= 24997 	idx= 174977
i= 12498 	idx= 187475
i= 6249 	idx= 193724
i= 3125 	idx= 196849
i= 1562 	idx= 198411
i= 781 	idx= 199192
i= 391 	idx= 199583
i= 195 	idx= 199778
i= 98 	idx= 199876
i= 49 	idx= 199925
i= 24 	idx= 199949
i= 12 	idx= 199961
i= 6 	idx= 199967
i= 3 	idx= 199970
i= 2 	idx= 199972
i= 1 	idx= 199973
i= 0 	idx= 199972
i= 49993 	idx= 149980
i= 24997 	idx= 174977
i= 12498 	idx= 187475
i= 6249 	idx= 193724
i= 3125 	idx= 196849
i= 1562 	idx= 198411
i= 781 	idx= 199192
i= 391 	idx= 199583
i= 195 	idx= 199778
i= 98 	idx= 199876
i= 49 	idx= 199925
i= 24 	idx= 199949
i= 12 	idx= 199961
i= 6 	idx= 199967
i= 3 	idx= 199970
i= 2 	idx= 199972
i= 1 	idx= 199971
i= 0 	idx= 199970
i= 49993 	idx= 149979
i= 24996 	idx= 174975
i= 12498 	idx= 187473
i= 6249 	idx= 193722
i= 3125 	idx= 196847
i= 1562 	idx= 198409
i= 781 	idx= 199190
i= 391 	idx= 199581
i= 195 	idx= 199776
i= 98 	idx= 199874
i= 49 	idx= 199923
i= 24 	idx= 199947
i= 12 	idx= 199959
i= 6 	idx= 199965
i= 3 	idx= 199968
i= 2 	idx= 199970
i= 1 	idx= 199971
i= 0 	idx= 199970
i= 49993 	idx= 149979
i= 24996 	idx= 174975
i= 12498 	idx= 187473
i= 6249 	idx= 193722
i= 3125 	idx= 196847
i= 1562 	idx= 198409
i= 781 	idx= 199190
i= 391 	idx= 199581
i= 195 	idx= 199776
i= 98 	idx= 199874
i= 49 	idx= 199923
i= 24 	idx= 199947
